date,close,ret
2014-09-17,457.334015,
2014-09-18,424.440002,-0.071926
2014-09-19,394.79599,-0.069843
2014-09-20,408.903992,0.035735
2014-09-21,398.821014,-0.024659
2014-09-22,402.152008,0.008352
2014-09-23,435.790985,0.083647
2014-09-24,423.204987,-0.028881
2014-09-25,411.574005,-0.027483
2014-09-26,404.424988,-0.01737
2014-09-27,399.519989,-0.012128
2014-09-28,377.181,-0.055915
2014-09-29,375.46701,-0.004544
2014-09-30,386.944,0.030567
2014-10-01,383.61499,-0.008603
2014-10-02,375.071991,-0.02227
2014-10-03,359.511993,-0.041485
2014-10-04,328.865997,-0.085243
2014-10-05,320.51001,-0.025408
2014-10-06,330.07901,0.029856
2014-10-07,336.187012,0.018505
2014-10-08,352.940002,0.049832
2014-10-09,365.026001,0.034244
2014-10-10,361.562012,-0.00949
2014-10-11,362.299011,0.002038
2014-10-12,378.549011,0.044852
2014-10-13,390.414001,0.031343
2014-10-14,400.869995,0.026782
2014-10-15,394.77301,-0.015209
2014-10-16,382.556,-0.030947
2014-10-17,383.757996,0.003142
2014-10-18,391.441986,0.020023
2014-10-19,389.54599,-0.004844
2014-10-20,382.845001,-0.017202
2014-10-21,386.475006,0.009482
2014-10-22,383.15799,-0.008583
2014-10-23,358.416992,-0.064571
2014-10-24,358.345001,-0.000201
2014-10-25,347.270996,-0.030903
2014-10-26,354.70401,0.021404
2014-10-27,352.989014,-0.004835
2014-10-28,357.618011,0.013114
2014-10-29,335.591003,-0.061594
2014-10-30,345.304993,0.028946
2014-10-31,338.321014,-0.020226
2014-11-01,325.748993,-0.03716
2014-11-02,325.891998,0.000439
2014-11-03,327.553986,0.0051
2014-11-04,330.492004,0.00897
2014-11-05,339.485992,0.027214
2014-11-06,349.290009,0.028879
2014-11-07,342.415009,-0.019683
2014-11-08,345.488007,0.008974
2014-11-09,363.264008,0.051452
2014-11-10,366.924011,0.010075
2014-11-11,367.695007,0.002101
2014-11-12,423.561005,0.151936
2014-11-13,420.734985,-0.006672
2014-11-14,397.817993,-0.054469
2014-11-15,376.132996,-0.05451
2014-11-16,387.881989,0.031236
2014-11-17,387.40799,-0.001222
2014-11-18,375.197998,-0.031517
2014-11-19,380.554993,0.014278
2014-11-20,357.839996,-0.059689
2014-11-21,350.847992,-0.019539
2014-11-22,352.920013,0.005906
2014-11-23,367.572998,0.041519
2014-11-24,376.901001,0.025377
2014-11-25,375.347992,-0.00412
2014-11-26,368.369995,-0.018591
2014-11-27,369.670013,0.003529
2014-11-28,376.446991,0.018333
2014-11-29,375.490997,-0.00254
2014-11-30,378.046997,0.006807
2014-12-01,379.244995,0.003169
2014-12-02,381.315002,0.005458
2014-12-03,375.01001,-0.016535
2014-12-04,369.604004,-0.014416
2014-12-05,376.854004,0.019616
2014-12-06,374.785004,-0.00549
2014-12-07,375.095001,0.000827
2014-12-08,361.908997,-0.035154
2014-12-09,352.218994,-0.026775
2014-12-10,346.36499,-0.01662
2014-12-11,350.506012,0.011956
2014-12-12,352.541992,0.005809
2014-12-13,347.376007,-0.014654
2014-12-14,351.631989,0.012252
2014-12-15,345.345001,-0.017879
2014-12-16,327.062012,-0.052941
2014-12-17,319.776001,-0.022277
2014-12-18,311.395996,-0.026206
2014-12-19,317.842987,0.020704
2014-12-20,329.955994,0.03811
2014-12-21,320.842987,-0.027619
2014-12-22,331.885986,0.034419
2014-12-23,334.571991,0.008093
2014-12-24,322.533997,-0.03598
2014-12-25,319.007996,-0.010932
2014-12-26,327.924011,0.027949
2014-12-27,315.863007,-0.03678
2014-12-28,317.239014,0.004356
2014-12-29,312.670013,-0.014402
2014-12-30,310.737,-0.006182
2014-12-31,320.192993,0.030431
2015-01-01,314.248993,-0.018564
2015-01-02,315.032013,0.002492
2015-01-03,281.082001,-0.107767
2015-01-04,264.195007,-0.060079
2015-01-05,274.473999,0.038907
2015-01-06,286.188995,0.042682
2015-01-07,294.337006,0.028471
2015-01-08,283.348999,-0.037331
2015-01-09,290.40799,0.024913
2015-01-10,274.79599,-0.053759
2015-01-11,265.660004,-0.033246
2015-01-12,267.79599,0.00804
2015-01-13,225.860992,-0.156593
2015-01-14,178.102997,-0.211449
2015-01-15,209.843994,0.178217
2015-01-16,208.097,-0.008325
2015-01-17,199.259995,-0.042466
2015-01-18,210.339005,0.055601
2015-01-19,214.860992,0.021499
2015-01-20,211.315002,-0.016504
2015-01-21,226.897003,0.073738
2015-01-22,233.406006,0.028687
2015-01-23,232.878998,-0.002258
2015-01-24,247.847,0.064274
2015-01-25,253.718002,0.023688
2015-01-26,273.472992,0.077862
2015-01-27,263.475006,-0.036559
2015-01-28,233.914993,-0.112193
2015-01-29,233.513,-0.001719
2015-01-30,226.425003,-0.030354
2015-01-31,217.464005,-0.039576
2015-02-01,226.972,0.043722
2015-02-02,238.229004,0.049596
2015-02-03,227.268005,-0.04601
2015-02-04,226.852997,-0.001826
2015-02-05,217.110992,-0.042944
2015-02-06,222.266006,0.023744
2015-02-07,227.753998,0.024691
2015-02-08,223.412003,-0.019064
2015-02-09,220.110001,-0.01478
2015-02-10,219.839005,-0.001231
2015-02-11,219.184998,-0.002975
2015-02-12,221.764008,0.011766
2015-02-13,235.427002,0.061611
2015-02-14,257.321014,0.092997
2015-02-15,234.824997,-0.087424
2015-02-16,233.843002,-0.004182
2015-02-17,243.610001,0.041767
2015-02-18,236.326004,-0.0299
2015-02-19,240.283005,0.016744
2015-02-20,243.779007,0.01455
2015-02-21,244.533997,0.003097
2015-02-22,235.977005,-0.034993
2015-02-23,238.891998,0.012353
2015-02-24,238.735001,-0.000657
2015-02-25,237.470001,-0.005299
2015-02-26,236.425995,-0.004396
2015-02-27,253.828003,0.073604
2015-02-28,254.263,0.001714
2015-03-01,260.201996,0.023358
2015-03-02,275.670013,0.059446
2015-03-03,281.701996,0.021881
2015-03-04,273.09201,-0.030564
2015-03-05,276.178009,0.0113
2015-03-06,272.722992,-0.01251
2015-03-07,276.260986,0.012973
2015-03-08,274.354004,-0.006903
2015-03-09,289.606995,0.055596
2015-03-10,291.76001,0.007434
2015-03-11,296.378998,0.015831
2015-03-12,294.354004,-0.006832
2015-03-13,285.337006,-0.030633
2015-03-14,281.88501,-0.012098
2015-03-15,286.393005,0.015992
2015-03-16,290.592987,0.014665
2015-03-17,285.505005,-0.017509
2015-03-18,256.299011,-0.102296
