date,mean,std,skew,kurt,asymmetry,leverage,supply
2019-01-15,0.5423947133731876,0.1766007419623784,0.3236714295873859,0.3818507542325153,0.36613242679163654,1.0,0.8847177040216063
2019-01-16,0.5042816482812745,0.17322132980371555,0.35354650664436327,0.37244453017717055,0.31050090815260817,0.9965102224464006,0.8903381198524694
2019-01-17,0.499495191460294,0.17191357258350115,0.3551090429932558,0.3793953217822142,0.2854416443657996,0.9931744170238379,0.8958139288370047
2019-01-18,0.5260569333352848,0.1696710109511357,0.32179157349369164,0.4264603260468657,0.29463509285255157,0.9901871890690394,0.8989875680008743
2019-01-19,0.5142254030879994,0.16880486395885286,0.3333109968367719,0.42244068026445747,0.30567161106496565,0.9866566101489267,0.8986519272595314
2019-01-20,0.535817940327462,0.17255754204507076,0.3204572496480797,0.4101004009635687,0.3230298241089546,0.9823404980598104,0.8983158905947602
2019-01-21,0.45469716749402417,0.15151466754963197,0.27229559653411084,0.4363907107702583,0.3125381944595697,0.9776306120675348,0.8979794577614361
2019-01-22,0.45582294782078503,0.15160908660308903,0.2712026463285484,0.4370612177579201,0.2742987977902493,0.9728447427198307,0.8977777752538749
2019-01-23,0.47287476410579665,0.15479411289420913,0.2635881733472676,0.42970273775585444,0.2677919665274955,0.9680605102000298,0.8977760209139991
2019-01-24,0.4662391256619732,0.15407186506565915,0.2691603585205003,0.42723127247444903,0.2681344669327668,0.9631308044804106,0.8977760209279632
2019-01-25,0.5561913037286009,0.07103889495999458,0.5152251742854965,0.18503809450177158,0.3073200055107671,0.9566680246847378,0.8977760209300631
2019-01-26,0.5526871032199113,0.07086563425503797,0.5225608807179667,0.18740033527273156,0.3333297726925848,0.9508131714052017,0.8977760209385532
2019-01-27,0.5559318802596878,0.0707433536296318,0.5158364729853527,0.1881194305234223,0.37956361269239336,0.9446774932878026,0.89777602095136
2019-01-28,0.5803302293968264,0.05784335347140661,0.5306075569848896,0.2723267102114113,0.3378932878549442,0.9386852411072055,0.8977760209641666
2019-01-29,0.5148922283788675,0.046187021672135856,0.38019142774313097,0.16125191926639018,0.3212294364784433,0.932425860359573,0.8977760209769733
2019-01-30,0.5260955418060458,0.04246636708663312,0.3479675858135674,0.22336963265592702,0.31530750842370214,0.9260664354652073,0.8977760209897798
2019-01-31,0.5298096230061017,0.044438965828697906,0.35680661711837286,0.21084843116792557,0.3489110597603375,0.9197784898978786,0.8977760210015219
